xlsPBID,xlsMemberID,FR25,FR50,FR100,FR200,FR400,BR25,BR50,BR100,BR200,BR400,BA25,BA50,BA100,BA200,BA400,BU25,BU50,BU100,BU200,BU400,ME25,ME50,ME100,ME200,ME400
81,84,00:00:24.8200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:44.4000000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:33.4700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
82,85,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:45.4800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
83,86,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:49.6200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
84,87,00:00:21.5000000,00:00:56,00:00:00,00:00:00,00:00:00,00:00:35.0600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:26.9000000,00:00:59.3100000,00:00:00,00:00:00,00:00:00,00:00:29.5100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
85,88,00:00:27.6900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:47.4300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.5700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
86,89,00:00:32.4500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:45.1300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
87,90,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
88,91,00:00:24.1800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:44.9600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:32.9300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
89,92,00:00:32.7200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:56.9600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:39.1200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
90,93,00:00:41.7800000,00:00:00,00:00:00,00:00:00,00:00:00,00:01:01.5300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:56.7500000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
91,94,00:00:23.5100000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:31.7800000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:31,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
92,95,00:00:17.2700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:28.1200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:26.0300000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:23.6600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
93,96,00:00:22.3700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:28.6600000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:29.1200000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:30.3700000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
94,97,00:00:35.0900000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
95,98,00:00:40.2400000,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
96,99,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
